RFID,Time,Speed,Volume,CongestionLevel
RFID1,2024-04-26 08:00:00,60,100,Low
RFID2,2024-04-26 08:15:00,55,110,Medium
RFID3,2024-04-26 08:30:00,50,120,High
RFID4,2024-04-26 08:45:00,45,130,Medium
RFID5,2024-04-26 09:00:00,40,140,Low
RFID6,2024-04-26 09:15:00,35,150,Low
RFID7,2024-04-26 09:30:00,30,160,Low
RFID8,2024-04-26 09:45:00,25,170,Low
RFID9,2024-04-26 10:00:00,20,180,Low
RFID10,2024-04-26 10:15:00,15,190,Low
RFID11,2024-04-26 10:30:00,10,200,Low
RFID12,2024-04-26 10:45:00,5,210,Low
